VARIABLES = "X","Y","u"
ZONE I=101,J=101,F=POINT
0.02	0.42	0.0223644
0.02	0.43	0.0215293
0.02	0.44	0.0207292
0.02	0.45	0.0199619
0.02	0.46	0.0192253
0.02	0.47	0.0185178
0.02	0.48	0.0178376
0.02	0.49	0.0171832
0.02	0.5	0.0165531
0.02	0.51	0.0159461
0.02	0.52	0.0153609
0.02	0.53	0.0147964
0.02	0.54	0.0142514
0.02	0.55	0.0137251
0.02	0.56	0.0132165
0.02	0.57	0.0127246
0.02	0.58	0.0122488
0.02	0.59	0.0117881
0.02	0.6	0.011342
0.02	0.61	0.0109096
0.02	0.62	0.0104904
0.02	0.63	0.0100837
0.02	0.64	0.00968895
0.02	0.65	0.00930558
0.02	0.66	0.00893306
0.02	0.67	0.00857089
0.02	0.68	0.00821858
0.02	0.69	0.00787568
0.02	0.7	0.00754173
0.02	0.71	0.00721632
0.02	0.72	0.00689904
0.02	0.73	0.00658949
0.02	0.74	0.0062873
0.02	0.75	0.00599209
0.02	0.76	0.00570353
0.02	0.77	0.00542125
0.02	0.78	0.00514495
0.02	0.79	0.00487429
0.02	0.8	0.00460896
0.02	0.81	0.00434866
0.02	0.82	0.0040931
0.02	0.83	0.00384198
0.02	0.84	0.00359503
0.02	0.85	0.00335197
0.02	0.86	0.00311253
0.02	0.87	0.00287645
0.02	0.88	0.00264347
0.02	0.89	0.00241333
0.02	0.9	0.00218579
0.02	0.91	0.00196059
0.02	0.92	0.00173749
0.02	0.93	0.00151626
0.02	0.94	0.00129665
0.02	0.95	0.00107843
0.02	0.96	0.000861365
0.02	0.97	0.000645219
0.02	0.98	0.000429763
0.02	0.99	0.000214767
0.02	1	0
0.03	0	1
0.03	0.01	0.790276
0.03	0.02	0.622617
0.03	0.03	0.498997
0.03	0.04	0.409341
0.03	0.05	0.343574
0.03	0.06	0.294248
0.03	0.07	0.256321
0.03	0.08	0.226451
0.03	0.09	0.202408
0.03	0.1	0.182681
0.03	0.11	0.166223
0.03	0.12	0.15229
0.03	0.13	0.140345
0.03	0.14	0.129989
0.03	0.15	0.120923
0.03	0.16	0.112917
0.03	0.17	0.105793
0.03	0.18	0.0994088
0.03	0.19	0.0936531
0.03	0.2	0.0884348
0.03	0.21	0.0836798
0.03	0.22	0.079327
0.03	0.23	0.0753257
0.03	0.24	0.0716334
0.03	0.25	0.0682144
0.03	0.26	0.0650381
0.03	0.27	0.0620786
0.03	0.28	0.0593135
0.03	0.29	0.0567234
0.03	0.3	0.0542916
0.03	0.31	0.0520035
0.03	0.32	0.049846
0.03	0.33	0.0478081
0.03	0.34	0.0458796
0.03	0.35	0.0440516
0.03	0.36	0.0423163
0.03	0.37	0.0406665
0.03	0.38	0.039096
0.03	0.39	0.037599
